iso_3,agriculture_type,representative_administrative_boundary_id,representative_administrative_boundary_name,representative_administrative_boundary_total_star_per_ha,representative_administrative_boundary_agriculture_star_per_ha,max_administrative_boundary_id,max_administrative_boundary_name,max_administrative_boundary_total_star_per_ha,max_administrative_boundary_agriculture_star_per_ha,min_administrative_boundary_id,min_administrative_boundary_name,min_administrative_boundary_total_star_per_ha,min_administrative_boundary_agriculture_star_per_ha
GBR,Livestock,GBR.1_1,England,1.70427E-08,1.70427E-08,GBR.3_1,Scotland,4.59198E-08,4.59198E-08,GBR.2_1,Northern Ireland,6.33698E-09,6.33698E-09
GEO,Livestock,GEO.4_1,Imereti,5.1323E-06,5.1323E-06,GEO.7_1,Mtskheta-Mtianeti,1.83016E-05,1.83016E-05,GEO.12_1,Tbilisi,0,0
GHA,Livestock,GHA.6_1,Northern,2.55824E-06,2.55824E-06,GHA.2_1,Brong Ahafo,4.6827E-06,4.6827E-06,GHA.5_1,Greater Accra,2.60275E-07,2.60275E-07
GIN,Livestock,GIN.4_1,Kankan,1.33344E-06,1.33344E-06,GIN.8_1,Nzérékoré,3.73306E-06,3.73306E-06,GIN.2_1,Conakry,5.46774E-08,5.46774E-08
GLP,Livestock,GLP.2_1,Pointe-à-Pitre,1.40639E-05,1.40639E-05,GLP.1_1,Basse-Terre,2.02399E-05,2.02399E-05,GLP.2_1,Pointe-à-Pitre,1.40639E-05,1.40639E-05
GMB,Livestock,GMB.5_1,Upper River,5.99282E-07,5.99282E-07,GMB.5_1,Upper River,5.99282E-07,5.99282E-07,GMB.6_1,Western,1.60771E-07,1.60771E-07
GNB,Livestock,GNB.6_1,Gabú,4.41603E-07,4.41603E-07,GNB.6_1,Gabú,4.41603E-07,4.41603E-07,GNB.7_1,Oio,3.36182E-07,3.36182E-07
GNQ,Livestock,GNQ.3_1,Bioko Sur,0.000514583,0.000514583,GNQ.3_1,Bioko Sur,0.000514583,0.000514583,GNQ.4_1,Centro Sur,7.62436E-07,7.62436E-07
GRC,Livestock,GRC.7_1,"Peloponnese, Western Greece and the Ionian Islands",3.15638E-06,3.15638E-06,GRC.6_1,Macedonia and Thrace,1.02938E-05,1.02938E-05,GRC.4_1,Crete,9.19139E-08,9.19139E-08
GRL,Livestock,GRL.2_1,Northeast Greenland National Park,0,0,GRL.3_1,Qaasuitsup,5.30996E-09,5.30996E-09,GRL.2_1,Northeast Greenland National Park,0,0
GTM,Livestock,GTM.9_1,Izabal,0.000204137,0.000204137,GTM.17_1,San Marcos,0.00145703,0.00145703,GTM.15_1,Retalhuleu,5.33857E-06,5.33857E-06
GUF,Livestock,GUF.1_1,Cayenne,4.42074E-06,4.42074E-06,GUF.1_1,Cayenne,4.42074E-06,4.42074E-06,GUF.1_1,Cayenne,4.42074E-06,4.42074E-06
GUM,Livestock,GUM.18_1,Yigo,7.21676E-09,7.21676E-09,GUM.18_1,Yigo,7.21676E-09,7.21676E-09,GUM.6_1,Dededo,0,0
GUY,Livestock,GUY.10_1,Upper Takutu-Upper Essequibo,1.99308E-05,1.99308E-05,GUY.2_1,Cuyuni-Mazaruni,4.26846E-05,4.26846E-05,GUY.5_1,Essequibo Islands-West Demerara,2.85129E-06,2.85129E-06
HND,Livestock,HND.2_1,Choluteca,8.51445E-06,8.51445E-06,HND.14_1,Ocotepeque,0.000246201,0.000246201,HND.3_1,Colón,5.56222E-06,5.56222E-06
HRV,Livestock,HRV.15_1,Sisacko-Moslavacka,4.57496E-07,4.57496E-07,HRV.7_1,Koprivnicko-Križevacka,1.65851E-06,1.65851E-06,HRV.16_1,Splitsko-Dalmatinska,1.08372E-07,1.08372E-07
HTI,Livestock,HTI.8_1,Ouest,8.04072E-05,8.04072E-05,HTI.2_1,Grand'Anse,0.000104596,0.000104596,HTI.1_1,Centre,1.62757E-06,1.62757E-06
HUN,Livestock,HUN.4_1,Borsod-Abaúj-Zemplén,9.83545E-07,9.83545E-07,HUN.17_1,Tolna,1.66967E-06,1.66967E-06,HUN.6_1,Csongrád,7.67784E-08,7.67784E-08
IDN,Livestock,IDN.1_1,Aceh,2.70567E-06,2.70567E-06,IDN.21_1,Nusa Tenggara Timur,8.0451E-05,8.0451E-05,IDN.14_1,Kalimantan Tengah,0,0
IMN,Livestock,IMN.5_1,Middle,6.50209E-10,6.50209E-10,IMN.4_1,Michael,1.2059E-08,1.2059E-08,IMN.6_1,Rushen,5.68217E-10,5.68217E-10
IND,Livestock,IND.19_1,Madhya Pradesh,3.32794E-06,3.32794E-06,IND.3_1,Arunachal Pradesh,5.17816E-05,5.17816E-05,IND.21_1,Manipur,2.43393E-08,2.43393E-08
IRL,Livestock,IRL.4_1,Cork,3.00521E-09,3.00521E-09,IRL.26_1,Wicklow,1.48947E-08,1.48947E-08,IRL.15_1,Louth,5.50948E-10,5.50948E-10
IRN,Livestock,IRN.7_1,Fars,1.04533E-06,1.04533E-06,IRN.29_1,West Azarbaijan,2.72306E-05,2.72306E-05,IRN.14_1,Kermanshah,3.68569E-07,3.68569E-07
IRQ,Livestock,IRQ.16_1,Ninawa,3.85872E-07,3.85872E-07,IRQ.3_1,Al-Muthannia,1.14318E-06,1.14318E-06,IRQ.5_1,An-Najaf,9.71272E-08,9.71272E-08
ISL,Livestock,ISL.5_1,Suðurland,2.07831E-08,2.07831E-08,ISL.8_1,Vesturland,2.83802E-08,2.83802E-08,ISL.2_1,Hálshreppur,1.85422E-08,1.85422E-08
ISR,Livestock,ISR.5_1,HaZafon,9.09827E-08,9.09827E-08,ISR.1_1,Golan,0.00012521,0.00012521,ISR.4_1,HaMerkaz,8.0472E-08,8.0472E-08
ITA,Livestock,ITA.14_1,Sardegna,5.73172E-07,5.73172E-07,ITA.9_1,Liguria,1.69861E-05,1.69861E-05,ITA.17_1,Trentino-Alto Adige,6.94768E-08,6.94768E-08
JAM,Livestock,JAM.7_1,Saint Ann,3.02806E-06,3.02806E-06,JAM.2_1,Hanover,1.10702E-05,1.10702E-05,JAM.1_1,Clarendon,3.77252E-08,3.77252E-08
JOR,Livestock,JOR.2_1,Amman,2.82438E-08,2.82438E-08,JOR.8_1,Ma`an,4.57357E-05,4.57357E-05,JOR.2_1,Amman,2.82438E-08,2.82438E-08
KAZ,Livestock,KAZ.9_1,Qaraghandy,9.44296E-07,9.44296E-07,KAZ.4_1,Atyrau,1.80963E-06,1.80963E-06,KAZ.7_1,North Kazakhstan,7.86215E-08,7.86215E-08
KEN,Livestock,KEN.46_1,Wajir,3.28161E-06,3.28161E-06,KEN.35_1,Nyandarua,0.000161004,0.000161004,KEN.3_1,Bungoma,1.62771E-08,1.62771E-08
KGZ,Livestock,KGZ.5_1,Naryn,5.84517E-07,5.84517E-07,KGZ.5_1,Naryn,5.84517E-07,5.84517E-07,KGZ.3_1,Chüy,2.86035E-07,2.86035E-07
KHM,Livestock,KHM.11_1,Krâchéh,3.05019E-06,3.05019E-06,KHM.17_1,Pouthisat,0.000186009,0.000186009,KHM.19_1,Prey Vêng,1.568E-08,1.568E-08
KOR,Livestock,KOR.3_1,Chungcheongnam-do,5.88409E-08,5.88409E-08,KOR.13_1,Jeollabuk-do,7.653E-08,7.653E-08,KOR.14_1,Jeollanam-do,4.10308E-08,4.10308E-08
KWT,Livestock,KWT.1_1,Al Ahmadi,2.74207E-07,2.74207E-07,KWT.3_1,Al Jahrah,3.83113E-07,3.83113E-07,KWT.1_1,Al Ahmadi,2.74207E-07,2.74207E-07
LAO,Livestock,LAO.18_1,Xiangkhoang,7.659E-07,7.659E-07,LAO.4_1,Champasak,3.0675E-06,3.0675E-06,LAO.9_1,Oudômxai,0,0
LBN,Livestock,LBN.5_1,Mount Lebanon,0.000182975,0.000182975,LBN.4_1,Bekaa,0.000267614,0.000267614,LBN.8_1,South,6.86936E-08,6.86936E-08
LBR,Livestock,LBR.3_1,Gbapolu,1.64744E-06,1.64744E-06,LBR.6_1,GrandGedeh,2.47628E-06,2.47628E-06,LBR.1_1,Bomi,1.96925E-08,1.96925E-08
LBY,Livestock,LBY.19_1,Surt,2.61873E-07,2.61873E-07,LBY.12_1,Benghazi,1.06795E-06,1.06795E-06,LBY.15_1,Misratah,1.60237E-07,1.60237E-07
LKA,Livestock,LKA.3_1,Badulla,1.04844E-05,1.04844E-05,LKA.20_1,Nuwara Eliya,7.17965E-05,7.17965E-05,LKA.9_1,Jaffna,0,0
LSO,Livestock,LSO.10_1,Thaba-Tseka,2.95265E-05,2.95265E-05,LSO.3_1,Leribe,5.03156E-05,5.03156E-05,LSO.6_1,Mohale's Hoek,1.65598E-05,1.65598E-05
LTU,Livestock,LTU.10_1,Vilniaus,1.09536E-07,1.09536E-07,LTU.1_1,Alytaus,1.20523E-07,1.20523E-07,LTU.7_1,Taurages,4.49653E-08,4.49653E-08
LUX,Livestock,LUX.1_1,Diekirch,3.8545E-08,3.8545E-08,LUX.1_1,Diekirch,3.8545E-08,3.8545E-08,LUX.3_1,Luxembourg,2.32236E-08,2.32236E-08
LVA,Livestock,LVA.2_1,Latgale,5.16972E-08,5.16972E-08,LVA.1_1,Kurzeme,1.14693E-07,1.14693E-07,LVA.2_1,Latgale,5.16972E-08,5.16972E-08
MAR,Livestock,MAR.6_1,Guelmim - Es-Semara,5.94178E-07,5.94178E-07,MAR.14_1,Tanger - Tétouan,7.93944E-05,7.93944E-05,MAR.7_1,Laâyoune - Boujdour - Sakia El Hamra,3.68326E-07,3.68326E-07
MDA,Livestock,MDA.21_1,Hîncesti,5.67573E-08,5.67573E-08,MDA.17_1,Falesti,0.000332004,0.000332004,MDA.11_1,Cimislia,0,0
MDG,Livestock,MDG.6_1,Toliary,5.42418E-05,5.42418E-05,MDG.2_1,Antsiranana,0.000168188,0.000168188,MDG.4_1,Mahajanga,5.2539E-05,5.2539E-05
MEX,Livestock,MEX.6_1,Chihuahua,3.6936E-06,3.6936E-06,MEX.30_1,Veracruz,0.000210469,0.000210469,MEX.2_1,Baja California Sur,2.02571E-07,2.02571E-07
MKD,Livestock,MKD.57_1,Prilep,2.56137E-07,2.56137E-07,MKD.32_1,Kavadartsi,1.86653E-06,1.86653E-06,MKD.21_1,Dolneni,0,0
MLI,Livestock,MLI.4_1,Kidal,1.26108E-06,1.26108E-06,MLI.2_1,Gao,1.89965E-06,1.89965E-06,MLI.8_1,Sikasso,4.99161E-07,4.99161E-07
MMR,Livestock,MMR.11_1,Rakhine,2.40047E-07,2.40047E-07,MMR.1_1,Ayeyarwady,5.76928E-06,5.76928E-06,MMR.2_1,Bago,1.03824E-07,1.03824E-07
MNE,Livestock,MNE.4_1,Bijelo Polje,3.26618E-07,3.26618E-07,MNE.20_1,Ulcinj,6.79986E-07,6.79986E-07,MNE.11_1,Mojkovac,0,0
MNG,Livestock,MNG.15_1,Ömnögovi,4.36273E-07,4.36273E-07,MNG.9_1,Dzavhan,2.79422E-06,2.79422E-06,MNG.5_1,Darhan-Uul,1.68929E-07,1.68929E-07
MOZ,Livestock,MOZ.8_1,Nassa,4.03486E-07,4.03486E-07,MOZ.4_1,Manica,3.05673E-06,3.05673E-06,MOZ.5_1,Maputo City,1.66071E-07,1.66071E-07
MRT,Livestock,MRT.7_1,Hodh ech Chargui,7.98412E-07,7.98412E-07,MRT.13_1,Trarza,3.43571E-06,3.43571E-06,MRT.4_1,Dakhlet Nouadhibou,9.93536E-08,9.93536E-08
MTQ,Livestock,MTQ.3_1,Le Trinité,8.68981E-05,8.68981E-05,MTQ.3_1,Le Trinité,8.68981E-05,8.68981E-05,MTQ.2_1,Le Marin,0,0
MWI,Livestock,MWI.25_1,Rumphi,1.25923E-05,1.25923E-05,MWI.19_1,Nkhata Bay,3.58496E-05,3.58496E-05,MWI.1_1,Balaka,0,0
MYS,Livestock,MYS.16_1,Trengganu,5.32571E-07,5.32571E-07,MYS.14_1,Sarawak,1.87765E-06,1.87765E-06,MYS.8_1,Pahang,0,0
NAM,Livestock,NAM.1_1,!Karas,2.35714E-06,2.35714E-06,NAM.3_1,Hardap,3.40934E-06,3.40934E-06,NAM.7_1,Ohangwena,5.78384E-07,5.78384E-07
NCL,Livestock,NCL.2_1,Nord,3.70744E-05,3.70744E-05,NCL.3_1,Sud,4.6385E-05,4.6385E-05,NCL.1_1,Îles Loyauté,0,0
NER,Livestock,NER.6_1,Tahoua,9.86527E-07,9.86527E-07,NER.2_1,Diffa,1.79557E-06,1.79557E-06,NER.1_1,Agadez,4.59663E-07,4.59663E-07
NGA,Livestock,NGA.35_1,Taraba,3.09862E-05,3.09862E-05,NGA.35_1,Taraba,3.09862E-05,3.09862E-05,NGA.16_1,Gombe,1.51675E-07,1.51675E-07
NIC,Livestock,NIC.1_1,Atlántico Norte,1.21E-05,1.21E-05,NIC.7_1,Estelí,3.79488E-05,3.79488E-05,NIC.3_1,Boaco,1.98509E-06,1.98509E-06
NLD,Livestock,NLD.3_1,Friesland,8.42851E-09,8.42851E-09,NLD.12_1,Zeeland,4.74993E-08,4.74993E-08,NLD.14_1,Zuid-Holland,7.08218E-09,7.08218E-09
NOR,Livestock,NOR.13_1,Rogaland,3.07071E-07,3.07071E-07,NOR.7_1,Hordaland,8.06063E-07,8.06063E-07,NOR.9_1,Nord-Trøndelag,4.6684E-08,4.6684E-08
NPL,Livestock,NPL.2_1,East,7.89311E-06,7.89311E-06,NPL.4_1,Mid-Western,9.5192E-06,9.5192E-06,NPL.5_1,West,4.04055E-06,4.04055E-06
NZL,Livestock,NZL.3_1,Canterbury,5.02104E-07,5.02104E-07,NZL.11_1,Northland,1.37417E-06,1.37417E-06,NZL.1_1,Auckland,7.19928E-09,7.19928E-09
OMN,Livestock,OMN.1_1,Ad Dakhliyah,1.70253E-05,1.70253E-05,OMN.2_1,Al Batinah North,2.04496E-05,2.04496E-05,OMN.8_1,Ash Sharqiyah South,5.11859E-08,5.11859E-08
PAK,Livestock,PAK.8_1,Sind,2.29088E-05,2.29088E-05,PAK.8_1,Sind,2.29088E-05,2.29088E-05,PAK.4_1,F.C.T.,0,0
PAN,Livestock,PAN.12_1,Panamá,1.51936E-05,1.51936E-05,PAN.2_1,Chiriquí,0.000957878,0.000957878,PAN.12_1,Panamá,1.51936E-05,1.51936E-05
PER,Livestock,PER.22_1,Puno,2.46431E-05,2.46431E-05,PER.1_1,Amazonas,0.001246132,0.001246132,PER.19_1,Moquegua,3.9702E-06,3.9702E-06
PHL,Livestock,PHL.29_1,Davao Oriental,1.08963E-05,1.08963E-05,PHL.65_1,Romblon,0.002457745,0.002457745,PHL.31_1,Eastern Samar,0,0
PNG,Livestock,PNG.14_1,Morobe,0,0,PNG.2_1,Central,0,0,PNG.2_1,Central,0,0
POL,Livestock,POL.7_1,Mazowieckie,6.80893E-08,6.80893E-08,POL.5_1,Lubuskie,1.33408E-07,1.33408E-07,POL.3_1,Lódzkie,5.83823E-08,5.83823E-08
PRI,Livestock,PRI.7_1,Arecibo,9.9836E-06,9.9836E-06,PRI.67_1,San Sebastián,2.16441E-05,2.16441E-05,PRI.40_1,Juncos,0,0
PRK,Livestock,PRK.7_1,Kangwon-do,8.79272E-08,8.79272E-08,PRK.7_1,Kangwon-do,8.79272E-08,8.79272E-08,PRK.8_1,Kumgangsan,5.24383E-08,5.24383E-08
PRT,Livestock,PRT.16_1,Santarém,1.24436E-06,1.24436E-06,PRT.18_1,Viana do Castelo,3.39367E-06,3.39367E-06,PRT.14_1,Portalegre,5.21766E-07,5.21766E-07
PRY,Livestock,PRY.17_1,Presidente Hayes,2.69932E-06,2.69932E-06,PRY.5_1,Boquerón,6.24611E-06,6.24611E-06,PRY.17_1,Presidente Hayes,2.69932E-06,2.69932E-06
PSE,Livestock,PSE.2_1,West Bank,6.92554E-07,6.92554E-07,PSE.2_1,West Bank,6.92554E-07,6.92554E-07,PSE.2_1,West Bank,6.92554E-07,6.92554E-07
PYF,Livestock,PYF.3_1,Îles Marquises,0.000112828,0.000112828,PYF.3_1,Îles Marquises,0.000112828,0.000112828,PYF.2_1,Îles du Vent,0,0
QAT,Livestock,QAT.5_1,Ar Rayyan,2.97516E-07,2.97516E-07,QAT.7_1,Umm Salal,3.78028E-07,3.78028E-07,QAT.1_1,Ad Dawhah,1.01226E-07,1.01226E-07
REU,Livestock,REU.4_1,Saint-Pierre,0,0,REU.1_1,Saint-Benoît,1.16771E-08,1.16771E-08,REU.4_1,Saint-Pierre,0,0
ROU,Livestock,ROU.36_1,Suceava,2.62473E-06,2.62473E-06,ROU.6_1,Bistri<U+021B>a-Nasaud,2.87691E-05,2.87691E-05,ROU.41_1,Vaslui,4.09986E-08,4.09986E-08
RUS,Livestock,RUS.6_1,Bashkortostan,7.21849E-08,7.21849E-08,RUS.25_1,Karachay-Cherkess,1.56073E-05,1.56073E-05,RUS.4_1,Arkhangel'sk,0,0
RWA,Livestock,RWA.3_1,Iburasirazuba,8.48511E-06,8.48511E-06,RWA.1_1,Amajyaruguru,0.000513529,0.000513529,RWA.3_1,Iburasirazuba,8.48511E-06,8.48511E-06
SAU,Livestock,SAU.8_1,Ash Sharqiyah,2.99878E-07,2.99878E-07,SAU.2_1,Al Bahah,7.54394E-06,7.54394E-06,SAU.8_1,Ash Sharqiyah,2.99878E-07,2.99878E-07
SDN,Livestock,SDN.15_1,South Kurdufan,1.3919E-06,1.3919E-06,SDN.2_1,Al Qadarif,6.64005E-06,6.64005E-06,SDN.10_1,Northern,1.71103E-07,1.71103E-07
SEN,Livestock,SEN.12_1,Tambacounda,1.64757E-06,1.64757E-06,SEN.6_1,Kédougou,6.12462E-06,6.12462E-06,SEN.3_1,Fatick,7.50987E-08,7.50987E-08
SLB,Livestock,SLB.10_1,Western,0,0,SLB.10_1,Western,0,0,SLB.10_1,Western,0,0
SLE,Livestock,SLE.2_1,Northern,2.13741E-06,2.13741E-06,SLE.2_1,Northern,2.13741E-06,2.13741E-06,SLE.4_1,Western,5.93621E-08,5.93621E-08
SLV,Livestock,SLV.7_1,La Unión,8.64663E-06,8.64663E-06,SLV.3_1,Chalatenango,5.21882E-05,5.21882E-05,SLV.13_1,Sonsonate,2.96392E-06,2.96392E-06
SOM,Livestock,SOM.13_1,Sanaag,1.16073E-05,1.16073E-05,SOM.18_1,Woqooyi Galbeed,3.07375E-05,3.07375E-05,SOM.3_1,Banaadir,0,0
SRB,Livestock,SRB.25_1,Zlatiborski,3.0381E-07,3.0381E-07,SRB.3_1,Grad Beograd,1.27507E-06,1.27507E-06,SRB.18_1,Severno-Banatski,0,0
SSD,Livestock,SSD.10_1,West Equatoria,5.04009E-07,5.04009E-07,SSD.6_1,Unity,4.61333E-06,4.61333E-06,SSD.10_1,West Equatoria,5.04009E-07,5.04009E-07
SUR,Livestock,SUR.9_1,Sipaliwini,1.44937E-06,1.44937E-06,SUR.9_1,Sipaliwini,1.44937E-06,1.44937E-06,SUR.9_1,Sipaliwini,1.44937E-06,1.44937E-06
SVK,Livestock,SVK.8_1,Žilinský,7.49393E-08,7.49393E-08,SVK.7_1,Trnavský,1.27317E-06,1.27317E-06,SVK.8_1,Žilinský,7.49393E-08,7.49393E-08
SVN,Livestock,SVN.7_1,Osrednjeslovenska,1.51992E-07,1.51992E-07,SVN.2_1,Goriška,2.46831E-06,2.46831E-06,SVN.4_1,Koroška,7.64841E-08,7.64841E-08
SWE,Livestock,SWE.13_1,Skåne,8.05891E-08,8.05891E-08,SWE.12_1,Östergötland,1.17443E-07,1.17443E-07,SWE.4_1,Gotland,3.10039E-08,3.10039E-08
SWZ,Livestock,SWZ.2_1,Lubombo,4.79908E-05,4.79908E-05,SWZ.2_1,Lubombo,4.79908E-05,4.79908E-05,SWZ.3_1,Manzini,4.22028E-06,4.22028E-06
SYR,Livestock,SYR.7_1,Dayr Az Zawr,3.82932E-07,3.82932E-07,SYR.13_1,Rif Dimashq,8.13091E-07,8.13091E-07,SYR.11_1,Lattakia,2.89435E-10,2.89435E-10
TCD,Livestock,TCD.9_1,Kanem,2.47796E-06,2.47796E-06,TCD.9_1,Kanem,2.47796E-06,2.47796E-06,TCD.22_1,Ville de N'Djamena,2.78838E-07,2.78838E-07
TGO,Livestock,TGO.2_1,Kara,1.36516E-06,1.36516E-06,TGO.1_1,Centre,7.53888E-06,7.53888E-06,TGO.3_1,Maritime,4.60636E-07,4.60636E-07
THA,Livestock,THA.47_1,Phrae,8.91807E-07,8.91807E-07,THA.50_1,Prachuap Khiri Khan,2.85959E-05,2.85959E-05,THA.1_1,Amnat Charoen,0,0
TJK,Livestock,TJK.4_1,Leninabad,4.49429E-07,4.49429E-07,TJK.2_1,Gorno-Badakhshan,1.01315E-06,1.01315E-06,TJK.4_1,Leninabad,4.49429E-07,4.49429E-07
TKM,Livestock,TKM.3_1,Balkan,3.97279E-07,3.97279E-07,TKM.3_1,Balkan,3.97279E-07,3.97279E-07,TKM.6_1,Tashauz,3.04043E-07,3.04043E-07
TLS,Livestock,TLS.9_1,Lautém,0.000202326,0.000202326,TLS.10_1,Liquiçá,0.000402647,0.000402647,TLS.7_1,Dili,7.23147E-07,7.23147E-07
TUN,Livestock,TUN.21_1,Tataouine,6.49576E-07,6.49576E-07,TUN.9_1,Kassérine,3.81786E-06,3.81786E-06,TUN.11_1,Le Kef,1.14053E-07,1.14053E-07
TUR,Livestock,TUR.31_1,Erzurum,7.78373E-07,7.78373E-07,TUR.38_1,Igdir,5.87641E-05,5.87641E-05,TUR.51_1,Kirsehir,1.46365E-08,1.46365E-08
TWN,Livestock,TWN.7_1,Taiwan,6.01487E-09,6.01487E-09,TWN.3_1,New Taipei,2.37638E-07,2.37638E-07,TWN.4_1,Taichung,4.51803E-09,4.51803E-09
TZA,Livestock,TZA.13_1,Mbeya,4.44265E-06,4.44265E-06,TZA.5_1,Iringa,0.000137138,0.000137138,TZA.28_1,Zanzibar North,0,0
UGA,Livestock,UGA.27_1,Kitgum,6.34274E-07,6.34274E-07,UGA.12_1,Kabale,0.000547444,0.000547444,UGA.48_1,Ntungamo,3.22406E-08,3.22406E-08
UKR,Livestock,UKR.27_1,Zhytomyr,9.33632E-08,9.33632E-08,UKR.5_1,Dnipropetrovs'k,0.000164377,0.000164377,UKR.6_1,Donets'k,1.98556E-08,1.98556E-08
URY,Livestock,URY.15_1,Salto,1.51992E-05,1.51992E-05,URY.9_1,Maldonado,4.15513E-05,4.15513E-05,URY.13_1,Rivera,3.56881E-06,3.56881E-06
USA,Livestock,USA.44_1,Texas,1.32657E-06,1.32657E-06,USA.12_1,Hawaii,6.26038E-05,6.26038E-05,USA.2_1,Alaska,1.07283E-09,1.07283E-09
UZB,Livestock,UZB.5_1,Karakalpakstan,7.02668E-07,7.02668E-07,UZB.12_1,Surkhandarya,1.15377E-06,1.15377E-06,UZB.14_1,Tashkent,2.39635E-07,2.39635E-07
VEN,Livestock,VEN.3_1,Apure,1.46023E-06,1.46023E-06,VEN.15_1,Mérida,0.001763995,0.001763995,VEN.10_1,Dependencias Federales,0,0
VGB,Livestock,VGB.4_1,Tortola,1.39021E-05,1.39021E-05,VGB.4_1,Tortola,1.39021E-05,1.39021E-05,VGB.4_1,Tortola,1.39021E-05,1.39021E-05
VNM,Livestock,VNM.14_1,Cao B<U+1EB1>ng,5.94413E-05,5.94413E-05,VNM.14_1,Cao B<U+1EB1>ng,5.94413E-05,5.94413E-05,VNM.7_1,Bà R<U+1ECB>a - Vung Tàu,0,0
VUT,Livestock,VUT.5_1,Tafea,0,0,VUT.4_1,Shefa,0,0,VUT.4_1,Shefa,0,0
YEM,Livestock,YEM.6_1,Al Jawf,1.99225E-07,1.99225E-07,YEM.8_1,Al Mahwit,1.38528E-05,1.38528E-05,YEM.1_1,`Adan,1.40385E-08,1.40385E-08
ZAF,Livestock,ZAF.8_1,Northern Cape,4.34815E-06,4.34815E-06,ZAF.4_1,KwaZulu-Natal,3.36271E-05,3.36271E-05,ZAF.7_1,North West,1.74994E-06,1.74994E-06
ZMB,Livestock,ZMB.7_1,North-Western,6.27022E-06,6.27022E-06,ZMB.7_1,North-Western,6.27022E-06,6.27022E-06,ZMB.2_1,Copperbelt,5.34749E-07,5.34749E-07
ZWE,Livestock,ZWE.9_1,Matabeleland South,9.33135E-07,9.33135E-07,ZWE.3_1,Manicaland,7.39539E-05,7.39539E-05,ZWE.4_1,Mashonaland Central,3.78773E-07,3.78773E-07