iso_3,agriculture_type,area_turnover_ratio
ALB,Crops,0.001146264
DZA,Crops,0.000697285
AGO,Crops,0.00139471
ATG,Crops,0.000141893
ARG,Crops,0.002459626
ARM,Crops,0.001706351
AUS,Crops,0.003356028
AUT,Crops,0.000923558
AZE,Crops,0.001999259
BGD,Crops,0.000530742
BRB,Crops,0.000621909
BLR,Crops,0.002886349
BEL,Crops,0.000474552
BLZ,Crops,0.001297559
BEN,Crops,0.001423019
BTN,Crops,0.000581022
BOL,Crops,0.001762764
BIH,Crops,0.00144285
BWA,Crops,0.125091098
BRA,Crops,0.002021231
BRN,Crops,0.00153223
BGR,Crops,0.002089622
BFA,Crops,0.009643362
BDI,Crops,0.00100325
CPV,Crops,0.000164707
KHM,Crops,0.001017142
CMR,Crops,0.000880185
CAN,Crops,0.002272542
CAF,Crops,0.001829422
TCD,Crops,0.00985259
CHL,Crops,0.000432774
CHN,Crops,0.000330371
COL,Crops,0.001135895
COG,Crops,0.001330045
COK,Crops,0.000712488
CRI,Crops,0.000313214
CIV,Crops,0.001873934
HRV,Crops,0.002520443
CYP,Crops,0.001648812
CZE,Crops,0.001438309
DNK,Crops,0.00106255
DOM,Crops,0.000384335
ECU,Crops,0.000764667
EGY,Crops,0.000275615
SLV,Crops,0.00052021
GNQ,Crops,0.002287877
ERI,Crops,0.003841642
EST,Crops,0.002544234
ETH,Crops,0.002161015
FJI,Crops,0.002101121
FIN,Crops,0.002484741
FRA,Crops,0.000635287
GMB,Crops,0.006183757
GEO,Crops,0.005100216
DEU,Crops,0.000826163
GHA,Crops,0.001331061
GRC,Crops,0.00041494
GRD,Crops,5.16287E-06
GIN,Crops,0.005201259
GNB,Crops,0.000845656
GUY,Crops,0.001145664
HND,Crops,0.001448134
HUN,Crops,0.001400067
ISL,Crops,0
IND,Crops,0.000888023
IDN,Crops,0.000785526
IRN,Crops,0.000954721
IRQ,Crops,0.003413561
IRL,Crops,0.000640305
ISR,Crops,0.000156641
ITA,Crops,0.000498001
JAM,Crops,0.000101475
JPN,Crops,0.000173733
JOR,Crops,0.000395426
KAZ,Crops,0.01084056
KEN,Crops,0.002058964
KWT,Crops,0.000150898
KGZ,Crops,0.003485622
LAO,Crops,0.000837326
LVA,Crops,0.0024105
LBN,Crops,0.000295771
LTU,Crops,0.00226438
LUX,Crops,0.001428827
MDG,Crops,0.00317358
MWI,Crops,0.000894035
MYS,Crops,0.002891241
MDV,Crops,0.00033668
MLI,Crops,0.005495537
MLT,Crops,0.000255127
MUS,Crops,7.18424E-05
MEX,Crops,0.001366871
MNG,Crops,0.052125466
MAR,Crops,0.001018073
MOZ,Crops,0.00412121
NAM,Crops,0.019133822
NPL,Crops,0.000710479
NLD,Crops,0.000262186
NZL,Crops,0.000229432
NIC,Crops,0.00384183
NER,Crops,0.002003402
NGA,Crops,0.00127413
MKD,Crops,0.001184625
NOR,Crops,0.001453874
OMN,Crops,0.002010462
PAK,Crops,0.001276952
PAN,Crops,0.003150287
PRY,Crops,0.001752182
PER,Crops,0.000537292
PHL,Crops,0.000838938
POL,Crops,0.00177944
PRT,Crops,0.001057658
QAT,Crops,0.00089801
KOR,Crops,0.000182516
MDA,Crops,0.003646503
ROU,Crops,0.001262155
RUS,Crops,0.004503435
RWA,Crops,0.000690631
KNA,Crops,0.000657711
LCA,Crops,0.000113471
VCT,Crops,5.28646E-05
WSM,Crops,0.001383087
SAU,Crops,0.000518485
SEN,Crops,0.004535576
SRB,Crops,0.001616687
SYC,Crops,0.001767696
SLE,Crops,0.001369086
SGP,Crops,0.000768837
SVK,Crops,0.001907312
SVN,Crops,0.001419179
ZAF,Crops,0.001671112
ESP,Crops,0.000912935
LKA,Crops,0.000752181
SUR,Crops,0.000567791
SWE,Crops,0.002226717
CHE,Crops,0.000266059
TJK,Crops,0.001962024
THA,Crops,0.001246317
TLS,Crops,0.004123798
TGO,Crops,0.002085666
TTO,Crops,0.000827161
TUN,Crops,0.001396224
TUR,Crops,0.000949237
TKM,Crops,0.004139947
UKR,Crops,0.002181564
GBR,Crops,0.000615666
TZA,Crops,0.003062575
USA,Crops,0.001069766
URY,Crops,0.001324808
VUT,Crops,0.00043213
VEN,Crops,0.000703094
VNM,Crops,0.000552967
YEM,Crops,0.000866731
ZMB,Crops,0.009295833
ZWE,Crops,0.004682262
ARM,Livestock,0.001053841
ALB,Livestock,0.000588076
DZA,Livestock,0.002791477
AGO,Livestock,0.568332946
ATG,Livestock,0.000335373
ARG,Livestock,0.00320394
AUS,Livestock,0.014489007
AUT,Livestock,0.000305394
BRB,Livestock,2.44254E-05
BGD,Livestock,0.000236984
BTN,Livestock,0.003311838
BOL,Livestock,0.009824796
BWA,Livestock,0.670354616
BRA,Livestock,0.001907357
BLZ,Livestock,0.000637169
BRN,Livestock,4.12745E-05
BGR,Livestock,0.001387846
BDI,Livestock,0.001526866
CMR,Livestock,0.001646615
CAN,Livestock,0.000646037
CPV,Livestock,0.000365886
LKA,Livestock,0.000725611
TCD,Livestock,0.014001506
CHL,Livestock,0.002737418
CHN,Livestock,0.001048644
COL,Livestock,0.003952378
COG,Livestock,0.015378951
COK,Livestock,0
CRI,Livestock,0.001010691
CYP,Livestock,4.17965E-06
AZE,Livestock,0.001084544
BEN,Livestock,0.021019355
DNK,Livestock,6.8526E-05
DOM,Livestock,0.000904
BLR,Livestock,0.000553938
ECU,Livestock,0.000698479
EGY,Livestock,6.4287E-08
SLV,Livestock,0.000820719
GNQ,Livestock,0.009887016
EST,Livestock,0.00073149
FJI,Livestock,0.001486629
FIN,Livestock,0.000299428
FRA,Livestock,3.68448E-07
GEO,Livestock,0.003295939
GMB,Livestock,0.001272795
DEU,Livestock,0.000230061
BIH,Livestock,0.003035985
GHA,Livestock,0.021169898
GRC,Livestock,0.001304564
GRD,Livestock,0.000137741
GIN,Livestock,0.031921888
GUY,Livestock,0.021800635
HND,Livestock,0.001657067
HUN,Livestock,0.000325699
HRV,Livestock,0.00071362
ISL,Livestock,0.006773895
IND,Livestock,0.000182277
IDN,Livestock,0.000696274
IRN,Livestock,0.001264586
IRQ,Livestock,0.014675441
IRL,Livestock,0.000437493
ISR,Livestock,3.31492E-05
ITA,Livestock,0.000216584
CIV,Livestock,0.016573997
KAZ,Livestock,0.026335707
JAM,Livestock,0.002161956
JPN,Livestock,0
JOR,Livestock,0.000514167
KGZ,Livestock,0.003996547
KEN,Livestock,0.003254779
KHM,Livestock,0.001418346
KOR,Livestock,3.309E-06
KWT,Livestock,0.00407034
LVA,Livestock,0.001343271
LAO,Livestock,0.000930059
LBN,Livestock,0.000612222
LTU,Livestock,0.001365171
MDG,Livestock,0.017598154
MWI,Livestock,0.001363705
MYS,Livestock,5.98501E-05
MLI,Livestock,0.010272241
MLT,Livestock,0
MUS,Livestock,6.63868E-05
MEX,Livestock,0.002906814
MNG,Livestock,0.064492049
MAR,Livestock,0.00282593
MOZ,Livestock,0.047523031
MDA,Livestock,0.000641689
NAM,Livestock,0.173499877
NPL,Livestock,0.000932964
NLD,Livestock,8.75837E-05
MKD,Livestock,0.003158933
NZL,Livestock,0.000655049
NIC,Livestock,0.002978553
NER,Livestock,0.022733403
NGA,Livestock,0.005690989
NOR,Livestock,0.000196351
PAK,Livestock,0.000216233
PAN,Livestock,0.000813192
CZE,Livestock,0.000372408
PRY,Livestock,0.005317261
PER,Livestock,0.003091446
PHL,Livestock,0.000131687
POL,Livestock,0.000217496
PRT,Livestock,0.000640831
GNB,Livestock,0.006629073
TLS,Livestock,0.00100129
ERI,Livestock,0.002022772
QAT,Livestock,0.000322395
ZWE,Livestock,0.06252746
ROU,Livestock,0.001007272
RWA,Livestock,0.000305317
RUS,Livestock,0.002107592
LCA,Livestock,3.48166E-05
VCT,Livestock,0.000137268
SAU,Livestock,0.030798752
SEN,Livestock,0.062785904
SVN,Livestock,0.000605
SVK,Livestock,0.001366744
SGP,Livestock,0
ZAF,Livestock,0.007337705
ESP,Livestock,0.000709867
SUR,Livestock,0.000273419
TJK,Livestock,0.004582856
SWE,Livestock,0.000161341
CHE,Livestock,0.00018112
TKM,Livestock,0.015329378
TZA,Livestock,0.066623867
THA,Livestock,0.000102486
TGO,Livestock,0.001994827
TTO,Livestock,3.30576E-05
TUN,Livestock,0.001943107
TUR,Livestock,0.000417521
GBR,Livestock,0.000511012
UKR,Livestock,0.000920515
USA,Livestock,0.001220167
BFA,Livestock,0.008099622
URY,Livestock,0.0029179
VEN,Livestock,0.00100831
VNM,Livestock,4.46987E-05
ETH,Livestock,0.003599633
YEM,Livestock,0.004542781
ZMB,Livestock,0.010038049
BEL,Livestock,8.49186E-05
LUX,Livestock,0.000294591
SRB,Livestock,0.000369919