Ecosystem Service,Benefit
Energía de origen animal ,Trabajo físico 
Bio-remediación,Agua potable 
Bio-remediación,Aire limpio 
Amortiguamiento y atenuación de los flujos de masa ,"Reducción de daños, costos evitados y contaminación de sedimentos evitada"
Regulación climática ,Regulación climática 
Dilución por atmósfera y ecosistemas ,Aire limpio 
Dilución por atmósfera y ecosistemas ,Agua potable
Dilución por atmósfera y ecosistemas ,Instalaciones sanitarias limpias 
Control de enfermedades ,Salud humana 
Fibras y otros materiales ,Producción de alimentos 
Fibras y otros materiales ,Materia prima
Filtración,Agua potable
Filtración,Aire limpio
Protección contra inundaciones y tormentas ,"Reducción de daños, costos evitados y contaminación de sedimentos evitada."
Materiales genéticos ,Producción de alimentos y medicinas 
Aguas subterráneas ,Agua potable
Mantenimiento de hábitats de reproducción,Provisión de alimentos 
Estabilización de masas y control de la erosión ,"Reducción de daños, costos evitados y contaminación de sedimentos evitada."
Mediación de impactos sensoriales ,Aire limpio 
Control de plagas ,Integridad del ecosistema 
Polinización,Producción de alimentos 
Calidad del suelo ,"Producción de alimentos, calidad del agua y reducción de daño "
Agua superficial ,Agua potable 
Ventilación,Aire limpio 
Mantenimiento de flujos hídricos,Agua potable 
Calidad del agua ,Agua potable