Driver of change,Description,Data Needs
Enfermedades ,"Los patógenos y microbios peligrosos que se encuentran originalmente dentro del (de los) ecosistema (s) en cuestión, pero que se han “desequilibrado” o “liberado” directa o indirectamente debido a las actividades humanas.",Cambio en la abundancia de los vectores de enfermedades 
Sequías ,Periodos en los cuales los niveles de precipitación caen por debajo del rango normal de variación.,Cambio en la severidad de la sequía 
Terremotos ,"Los terremotos se manifiestan haciendo vibrar, desplazando o alterando el suelo. También pueden causar eventos asociados como los tsunamis, los desprendimientos de tierra o incluso actividad volcánica.",Cambio en la severidad de los terremotos 
Incendios,Supresión o incremento en la frecuencia de los incendios y /o intensidad fuera de su rango natural de variación.,Cambio en la severidad de los incendios 
Inundaciones,Precipitaciones extremas que conllevan a la sumersión de tierras áridas. ,Cambio en la severidad de las inundaciones 
Desprendimientos de tierra,Desprendimientos que conllevan a cambios geológicos.,Cambios en la severidad de los desprendimientos de tierra 
Modificación de hábitats ,"Cambios mayores en la composición y ubicación de los hábitats, por ejemplo, la deforestación.",Cambio en el uso y cubierta del suelo 
Modificación humana del material genético ,Organismos o genes alterados o transportados por seres humanos.,Cambio en la severidad de la modificación del material genético 
Movimiento humano ,Migración de personas de un lugar a otro con intención de establecerse de manera permanente o temporal en una nueva ubicación.,Cambio en la inmigración y emigración 
Actividades industriales o domésticas ,Actividades humanas no agrícolas que incluyen el uso no consuntivo de recursos.,Cambio en la densidad de la población y actividad de transporte marítimo
Construcción industrial o doméstica,Proceso de construir un edificio o una infraestructura para fines industriales o domésticos.,Cambio en la actividad de construcción 
Agricultura y acuicultura intensiva ,"Amenazas de la agricultura y la ganadería como resultado de la expansión agrícola y la intensificación, incluyendo la silvicultura, maricultura y acuicultura (incluye el impacto de la colocación de vallas alrededor de áreas cultivadas).",Cambio en la actividad agrícola 
Especies invasoras,"Plantas, animales, patógenos y otros microbios peligrosos que no se encuentran originalmente en el (los) ecosistema (s) en cuestión, y que se introducen y propagan directa o indirectamente mediante las actividades humanas.",Cambio en el número de especies invasoras
Acidificación de los océanos ,Cambios en la química de los océanos que ocurren cuando el dióxido de carbono se absorbe desde la atmósfera y reacciona con el agua de mar para producir ácido.,Cambio en la acidificación de los océanos 
Corriente y circulación oceánica ,El movimiento a gran escala de las aguas en las cuencas oceánicas.,Cambio en las corrientes oceánicas 
Sobrepesca ,"La captura de animales o plantas salvajes acuáticas a un ritmo mayor al de su capacidad de regeneración. La captura puede realizarse para fines comerciales, recreativos, de subsistencia, investigación o cultural, o para fines de control /caza; también se incluyen la mortalidad accidental/capturas incidentales.",Cambios en la producción pesquera 
Sobreexplotación,"La captura de plantas, hongos, árboles y demás vegetación leñosa, y otros productos no madereros o derivados de animales a un ritmo mayor al de su capacidad de regeneración. La captura puede realizarse para fines comerciales, de recreación, subsistencia, investigación o cultural, o por motivos de control.",Cambio en el número de especies comercializadas 
Caza excesiva ,"La caza o captura de animales terrestres salvajes o productos derivados de animales a un ritmo mayor al de su capacidad de regeneración. La caza o captura puede producirse por motivos comerciales, recreativos, de subsistencia, investigación o cultural, o por razones de control/caza; incluye mortalidad accidental /capturas incidentales.",Cambio en las especies cazadas 
Plagas,"Plantas o animales peligrosos que se encuentran originalmente dentro del (de los) ecosistema (s) en cuestión, pero que se han “desequilibrado” o “liberado” directa o indirectamente debido a las actividades humanas.",Cambio en la abundancia de plagas 
Contaminación,Amenazas causadas por la introducción de contaminantes en el medio natural.,Cambio en el nivel de contaminación 
Cambios en la población ,Cambios en las poblaciones de especies en el tiempo y el espacio.,Cambio en las poblaciones de especies 
Aumento del nivel del mar ,Incremento en el nivel promedio global del mar como resultado de un incremento en el volumen del agua en los océanos o la dilatación a causa del calor.,Cambio en el aumento del nivel del mar 
Temperatura de la superficie del mar ,Períodos en los que las temperaturas de la superficie del mar exceden o están descienden por debajo del rango normal de variación.,Cambio en la temperatura de la superficie del mar 
Tormentas,Lluvias o vientos excesivos ,Cambio en la severidad de las tormentas 
Volcanes,Eventos volcánicos que pueden conllevar a cambios en el capital natural,Cambios en la severidad de las erupciones volcánicas 
Extracción del agua ,Cambio en los patrones de flujos hidrológicos con respecto a su rango natural de variación debido a actividades humanas.,Cambio en los niveles de uso del agua de superficie y subterránea 
Condiciones climáticas ,Condiciones climáticas fuera del rango natural de variación.,"Cambio en la estacionalidad de las temperaturas, precipitaciones y vientos. "