Impact driver,Driver
Disturbances,Pollution
Disturbances,Population changes
Disturbances,Volcanoes
Freshwater ecosystem use,Diseases
Freshwater ecosystem use,Habitat modification
Freshwater ecosystem use,Invasive species
Freshwater ecosystem use,Pollution
Freshwater ecosystem use,Flooding
Freshwater ecosystem use,Industrial or domestic activities
Freshwater ecosystem use,Intensive agriculture and aquaculture
Freshwater ecosystem use,Industrial or domestic construction
Freshwater ecosystem use,Overharvesting
Freshwater ecosystem use,Population changes
Freshwater ecosystem use,Overfishing
Freshwater ecosystem use,Volcanoes
GHG emissions,Droughts
GHG emissions,Habitat modification
GHG emissions,Invasive species
GHG emissions,Pollution
GHG emissions,Weather conditions
GHG emissions,Flooding
GHG emissions,Storms
GHG emissions,Ocean current and circulation
GHG emissions,Sea level rise
GHG emissions,Sea surface temperature
GHG emissions,Human movement
GHG emissions,Population changes
GHG emissions,Fire
GHG emissions,Pests
GHG emissions,Ocean acidification
GHG emissions,Volcanoes
Marine ecosystem use,Diseases
Marine ecosystem use,Habitat modification
Marine ecosystem use,Invasive species
Marine ecosystem use,Pollution
Marine ecosystem use,Industrial or domestic activities
Marine ecosystem use,Intensive agriculture and aquaculture
Marine ecosystem use,Industrial or domestic construction
Marine ecosystem use,Overharvesting
Marine ecosystem use,Population changes
Marine ecosystem use,Overfishing
Marine ecosystem use,Volcanoes
Non-GHG air pollutants,Habitat modification
Non-GHG air pollutants,Pollution
Non-GHG air pollutants,Weather conditions
Non-GHG air pollutants,Population changes
Other resource use,Habitat modification
Other resource use,Industrial or domestic activities
Other resource use,Industrial or domestic construction
Other resource use,Overharvesting
Other resource use,Population changes
Other resource use,Human modification of genetic material
Other resource use,Overfishing
Other resource use,Overhunting
Other resource use,Earthquakes
Soil pollutants,Diseases
Soil pollutants,Habitat modification
Soil pollutants,Invasive species
Soil pollutants,Pollution
Soil pollutants,Intensive agriculture and aquaculture
Soil pollutants,Population changes
Soil pollutants,Weather conditions
Solid waste,Diseases
Solid waste,Habitat modification
Solid waste,Invasive species
Solid waste,Pollution
Solid waste,Population changes
Solid waste,Pests
Solid waste,Weather conditions
Terrestrial ecosystem use,Diseases
Terrestrial ecosystem use,Droughts
Terrestrial ecosystem use,Habitat modification
Terrestrial ecosystem use,Invasive species
Terrestrial ecosystem use,Pollution
Terrestrial ecosystem use,Flooding
Terrestrial ecosystem use,Industrial or domestic activities
Terrestrial ecosystem use,Intensive agriculture and aquaculture
Terrestrial ecosystem use,Landslides
Terrestrial ecosystem use,Industrial or domestic construction
Terrestrial ecosystem use,Overharvesting
Terrestrial ecosystem use,Population changes
Terrestrial ecosystem use,Fire
Terrestrial ecosystem use,Overhunting
Terrestrial ecosystem use,Weather conditions
Water pollutants,Diseases
Water pollutants,Habitat modification
Water pollutants,Invasive species
Water pollutants,Pollution
Water pollutants,Population changes
Water pollutants,Pests
Water pollutants,Weather conditions
Water use,Droughts
Water use,Habitat modification
Water use,Water abstraction
Water use,Population changes