Ecosystem Service,Asset,Importance,Justification
Energía de origen animal ,Especies,R,"Las especies, en la forma de animales de trabajo, brindan directamente el servicio de energía de origen animal. Cualquier reducción en la cantidad y calidad de las especies puede tener una influencia negativa en la prestación del servicio."
Biorremediación,Hábitats,A,"La biorremediación por plantas es sensible a los cambios en los hábitats dado que esto podría afectar la distribución y abundancia de especies. Sin embargo, estos cambios pueden revertirse si se restaura el hábitat."
Biorremediación,Especies,R,La biorremediación por plantas es altamente sensible a los cambios en la composición de especies y su distribución y abundancia.
Amortiguamiento y atenuación de los flujos de masa,Hábitats,R,"Los hábitats son clave para el amortiguamiento y atenuación de los flujos de masa, y la pérdida de hábitat puede causar la reducción o cese del servicio."
Amortiguamiento y atenuación de los flujos de masa,Geomorfología del suelo ,R,"El amortiguamiento y la atenuación de los flujos de masa son altamente sensibles a los cambios en la geomorfología del suelo, lo cual puede originar el cese del servicio. Los cambios en la geomorfología del suelo son casi siempre irreversibles, y esto afecta la amortiguación y la atenuación de los flujos de masa a largo plazo."
Amortiguamiento y atenuación de los flujos de masa,Suelos y sedimentos ,A,"Los suelos y sedimentos son esenciales para el amortiguamiento y atenuación de los servicios de flujos de masa, y los cambios en las propiedades del suelo pueden causar una interrupción directa del servicio y la pérdida de otros activos que dan como resultado una reducción indirecta o cese del servicio."
Regulación climática ,Atmósfera,R,La regulación climática a gran escala depende completamente de la atmósfera. La escala y complejidad de la atmósfera significa que los cambios que los seres humanos causan podrían no revertirse a lo largo de la vida humana.
Regulación climática,Hábitats,R,"Los hábitats juegan un papel importante en la regulación climática global a través del secuestro y almacenamiento del carbono. También desempeñan un papel importante en la regulación del clima local, por ejemplo, a través de su capacidad para la retención de agua y provisión de sombra. Algunos cambios en los hábitats pueden ser reversibles, pero usualmente después de un largo período de tiempo, pero otros como la deforestación en las regiones tropicales podrían originar un clima más seco que podría impedir la reforestación de áreas."
Regulación climática,Suelos y sedimentos ,A,"La regulación climática global por ecosistemas terrestres es sensible a los cambios en los suelos y sedimentos que ocurren como consecuencia de la deforestación, el cambio en el uso del suelo y el drenaje de humedales."
Regulación climática,Especies,A,"La regulación global, regional y de micro climas por ecosistemas terrestres es sensible a los cambios en especies dado que desempeñan un papel importante en el secuestro y almacenamiento de carbono."
Regulación climática,Agua ,R,La regulación de micro climas y climas regionales es sensible a los cambios en el agua dado que esto juega un papel en la regulación climática local a través de la circulación oceánica y los cambios en el agua de superficie. Los cambios importantes en la circulación oceánica serían irreversibles.
Dilución por la atmósfera y los ecosistemas ,Atmósfera,R,"La dilución por la atmósfera es altamente sensible a los cambios en la atmósfera dado que la cubierta nubosa, la velocidad del viento, el perfil de temperatura vertical y los niveles de turbulencia son los principales componentes del sistema que influyen en el servicio. La escala y complejidad de la atmósfera significa que los cambios que los humanos causan a menudo podrían no revertirse a lo largo de la vida humana."
Dilución por la atmósfera y los ecosistemas,Geomorfología oceánica ,A,Los cambios en la geomorfología oceánica pueden tener un impacto en cuán rápido y eficientemente los contaminantes pueden diluirse en los medios marinos.
Dilución por la atmósfera y los ecosistemas,Agua,A,"La dilución por ecosistemas de agua dulce es altamente sensible a los cambios en los flujos de agua dado que esto afecta el factor de dilución. Sin embargo, estos cambios pueden revertirse si se restaura el flujo de agua."
Control de enfermedades ,Hábitats,A,Los hábitats son un activo complementario para el control de enfermedades y los cambios en los hábitats pueden conllevar a una serie de brotes de enfermedades.
Control de enfermedades ,Especies,R,"Las especies actúan como vectores y como depredadores de enfermedades. Por lo tanto, cualquier cambio en la composición de especies puede influir en la capacidad de control de enfermedades."
Fibras y otros materiales ,Hábitats,A,"Los hábitats conforman el entorno propicio para las plantas. En este sentido, los recursos derivados de las plantas son sensibles a los cambios en los hábitats, sin embargo, estos cambios podrían revertirse si se restaura el hábitat."
Fibras y otros materiales ,Especies,R,"Las especies brindan directamente las fibras y otros materiales. Por lo tanto, cualquier reducción de la cantidad o calidad de las especies puede tener una influencia negativa en la prestación del servicio."
Filtración,Hábitats,R,"Los hábitats son esenciales para la filtración /secuestro /almacenamiento/acumulación por ecosistemas. Sin embargo, el impacto de los cambios de los hábitats en el servicio es altamente variable dado que la relación entre los dos es no linear."
Filtración,Especies,R,"Las especies brindan directamente servicios de filtración. Cualquier reducción de la cantidad o calidad de las especies puede, por lo tanto, tener una influencia negativa en la prestación del servicio."
Protección contra inundaciones y tormentas ,Hábitats,R,"La protección contra inundaciones proviene directamente de una diversidad de hábitats y sus elementos como los manglares, humedales, arrecifes, playas y dunas de arena, entre otros."
Materiales genéticos ,Especies,R,El material genético es altamente sensible a la reducción en el tamaño de la población de especies dado que esto originaría una pérdida de la diversidad genética. La pérdida de material genético no es reversible dado que el material genético depende completamente de las especies que pasarán a una siguiente generación.
Aguas subterráneas ,Agua,A,El agua suministra directamente aguas subterráneas. Las aguas subterráneas son altamente sensibles a los cambios en la cantidad de agua de los cuerpos hídricos y las precipitaciones.
Mantenimiento de hábitats de reproducción,Hábitats,R,"La salud de los hábitats es esencial para que puedan funcionar como hábitats de reproducción de varias especies. La falta o degradación severa de dichos hábitats puede dar como resultado bajas densidades o ausencia completa de especies dependientes de criaderos. Los cambios adversos en los hábitats podrían, en algunos casos, originar la desaparición de poblaciones importantes que requieren décadas o siglos para recuperarse."
Mantenimiento de hábitats de reproducción,Especies,R,"Los criaderos son sensibles a los cambios en las poblaciones de especies y su composición. Diferentes especies desempeñan papeles importantes, por ejemplo, algunas proveen alimentación y protección (por ejemplo, las algas marinas), y brindan directamente los huevos, larvas y crías que conforman el sistema."
Mantenimiento de hábitats de reproducción,Agua,A,"El mantenimiento de las poblaciones y hábitats de criaderos depende directamente del agua. Los cambios en la calidad, propiedades y suministro de agua pueden ocasionar la pérdida de hábitat y especies. Los daños causados por los cambios en la cantidad o calidad del agua pueden requerir décadas para recuperarse."
Estabilización de masas y control de la erosión ,Hábitats,A,"Los hábitats son esenciales para el control de la erosión, la mayoría de ellos brindan este servicio a través de la vegetación, o mediante la estructura del hábitat que protege o amortigua las causas de la erosión. Los bosques y otros hábitats con vegetación, arrecifes, dunas, etc. brindan el servicio de muchas maneras diferentes (estabilidad del suelo, barrera, mejora del alcantarillado, cubierta de copas, etc.)."
Estabilización de masas y control de la erosión ,Geomorfología del suelo ,A,"Las alteraciones mayores en la morfología del suelo pueden tener un gran impacto en el perfil de erosión del lugar dado que afectan la capacidad de erosión del suelo, las escorrentías y otros factores. Los cambios importantes en la geomorfología del suelo son a menudo irreversibles, y esto afecta la estabilización y el control de la erosión en el largo plazo."
Estabilización de masas y control de la erosión,Suelos y sedimentos ,A,"Las propiedades del suelo tales como las texturas, la capacidad de infiltración, la permeabilidad, el contenido orgánico, y el perfil del suelo determinan su susceptibilidad a la erosión. Los cambios de estas propiedades afectan considerablemente la capacidad del suelo para brindar el servicio."
Mediación de los impactos sensoriales ,Atmósfera,A,Los elementos atmosféricos como la lluvia y el viento son activos importantes en la regulación de la contaminación del aire.
Mediación de los impactos sensoriales ,Hábitats,R,"Los hábitats sirven como barreras y amortiguadores que median el impacto de la luz, el ruido y los olores."
Mediación de los impactos sensoriales,Especies,R,"La vegetación es la principal barrera natural utilizada para reducir la contaminación por ruido y luz y es clave para reducir la contaminación del aire, incluyendo los olores. "
Mediación de los impactos sensoriales ,Agua,G,"El agua se utiliza en las estrategias de planificación urbana para amortiguar la contaminación por ruido a través de estructuras de agua como las fuentes de agua. El servicio en este tipo de estrategia es sensible a las alteraciones en el suministro de agua. Este activo se limita a la atenuación de ruido y no afecta otros tipos de impactos sensoriales, como la visión y el olfato. Otros activos pueden proporcionar este servicio, y la alteración del servicio puede revertirse de manera natural. Hay incertidumbre media con respecto a la relación."
Control de plagas ,Hábitats,A,Los cambios en los hábitats pueden crear nichos vacíos que permiten que ocurran las invasiones.
Control de plagas ,Especies,R,"Las especies pueden brindar los servicios de control de plagas pero también pueden ser plagas en sí mismos. Por lo tanto, cualquier cambio en la composición de las especies puede tener un impacto en la capacidad de control de plagas."
Polinización,Atmósfera,R,La dispersión de semillas es sensible a los cambios en la atmósfera dado que los cambios en el viento afectarán la dispersión.
Polinización ,Especies,R,"La mayoría de plantas salvajes y cultivos alimenticios son polinizados por animales. Por lo tanto, la polinización es altamente sensible a los cambios en las especies."
Polinización ,Agua,A,"El agua juega un papel esencial en la dispersión de semillas. Por lo tanto, la dispersión de semillas es sensible a los cambios en el agua y los niveles de agua."
Calidad del suelo,Atmósfera,R,"Los cambios en las precipitaciones, los vientos y la temperatura afectarán la calidad del suelo al influir tanto en la disponibilidad del agua como en los procesos de meteorización. La complejidad de las interacciones entre los múltiples elementos del clima y los componentes del suelo hacen que sea difícil predecir con exactitud los efectos precisos."
Calidad del suelo ,Hábitats,R,"Los hábitats juegan un papel esencial en los procesos de descomposición y fijación que influyen en la composición del suelo, aunque no llevan a cabo estos procesos en sí mismos, sino que más bien brindan los activos y condiciones necesarias para que se pueda brindar el servicio."
Calidad del suelo ,Geomorfología del suelo ,R,"La geomorfología (especialmente la pendiente o gradiente del terreno) afecta los procesos de meteorización del agua así como el drenaje. El impacto de los cambios de la geomorfología en la calidad del suelo es generalmente bastante alto, pero depende del material y las interacciones entre el clima, la topografía, el material precursor, la biota terrestre y el tiempo y los factores relacionados con la naturaleza del mineral mismo. Los cambios importantes en la geomorfología del suelo son con frecuencia irreversibles, lo cual afecta la calidad del suelo en el largo plazo. "
Calidad del suelo,Minerales,R,"Los minerales son importantes para la fertilidad del suelo dado que las superficies actúan como lugares para el almacenamiento de los nutrientes. A medida que las partículas de suelo comienzan a meteorizar, los minerales primarios liberan nutrientes en el suelo. A medida que estas partículas disminuyen de tamaño, el suelo también puede retener grandes cantidades de nutrientes. Por lo tanto, los minerales están vinculados directamente, insustituibles, y la calidad del suelo depende completamente de ellos. Si se restauran las condiciones naturales del activo, se puede revertir el impacto de los cambios en el servicio. Sin embargo, se conoce relativamente muy poco sobre esta relación."
Calidad del suelo,Suelos y sedimentos ,R,El estado de los suelos está directamente vinculado con la calidad del suelo dado que las propiedades y la composición del suelo están directamente correlacionadas con los procesos de descomposición y fijación que determinan la calidad del suelo y la idoneidad para promover la vida.
Calidad del suelo,Especies,A,Las especies en el suelo y el ecosistema desempeñan un papel importante en la descomposición y procesos de fijación.
Calidad del suelo,Agua,A,"El agua facilita y brinda las condiciones necesarias para la descomposición y los procesos de fijación que son determinantes clave de la calidad del suelo. Los cambios en la disponibilidad, cantidad y frecuencia del agua pueden dar como resultado una alteración de la materia orgánica del suelo, y desequilibrios en las tasas de descomposición y procesos de fijación. El agua también es un agente de meteorización química y física. "
Agua de superficie ,Agua,A,"El agua como activo brinda directamente agua de superficie. Por lo tanto, el agua de superficie es altamente sensible a los cambios en la cantidad de agua en los cuerpos de agua y precipitaciones."
Ventilación,Especies,R,La ventilación y transpiración se obtiene directamente a través de las especies. Cualquier reducción en la cantidad o calidad de las especies puede tener un efecto negativo en la prestación del servicio.
Mantenimiento del flujo de agua ,Atmósfera ,R,El ciclo hidrológico es altamente sensible a los cambios en la atmósfera dado que estos afectan las precipitaciones y los patrones de temperatura.
Mantenimiento del flujo de agua,Hábitats,A,"Los hábitats influyen en la manera en que fluye el agua a través de las zonas verdes y los cambios en los hábitats pueden, por lo tanto, ocasionar efectos en el ciclo hidrológico."
Mantenimiento del flujo de agua,Agua,A,"El agua como activo está intrínsicamente vinculado con el servicio de mantenimiento de flujo de agua. El ciclo hidrológico y el flujo de agua son sensibles a los cambios en las cantidades de agua. Los cambios en la cantidad de agua disponible pueden, en algunos casos, revertirse, pero algunas veces solo en el largo plazo. Por ejemplo, las tasas de recarga del acuífero natural son muy bajas en regiones áridas y semiáridas."
Calidad del agua ,Especies,A,Las especies brindan servicios importantes como el ciclo de los nutrientes y la filtración de agua que contribuye a la calidad del agua.
Calidad del agua ,Agua,A,La calidad del agua es una característica intrínseca del agua como un activo. Las condiciones químicas de las aguas dulces son altamente sensibles a los cambios en el agua por contaminación y escorrentía.