Production process,Disturbances,Freshwater ecosystem use,GHG emissions,Marine ecosystem use,Non-GHG air pollutants,Other resource use,Soil pollutants,Solid waste,Terrestrial ecosystem use,Water pollutants,Water use
Airport services,H,NA,H,NA,H,NA,H,H,NA,H,H
Alcoholic fermentation and distilling,NA,NA,H,NA,NA,M,H,H,NA,H,H
Alumina refining,NA,NA,H,NA,NA,NA,H,H,NA,H,VH
Aquaculture,NA,VH,NA,H,NA,NA,H,NA,NA,H,NA
Biomass energy production,NA,NA,H,NA,H,NA,NA,H,NA,H,H
Cable and satellite installations on land,H,L,NA,NA,NA,NA,NA,NA,L,NA,NA
"Catalytic cracking, fractional distillation and crystallization",NA,NA,H,NA,H,NA,H,H,H,H,H
Construction,H,H,H,NA,H,NA,M,H,VH,M,H
Construction materials production,H,H,H,H,M,NA,NA,H,VH,M,H
Cruise line provision,NA,NA,H,M,L,NA,NA,M,NA,H,M
Cryogenic air separation,H,NA,NA,NA,L,NA,M,NA,NA,M,H
Distribution,H,NA,H,M,H,NA,L,NA,NA,L,NA
Electric/nuclear power transmission and distribution,NA,NA,H,NA,NA,NA,NA,NA,M,M,NA
Electronics and hardware production,M,NA,NA,NA,NA,NA,H,M,NA,H,NA
Environmental and facilities services,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Fibre-optic cable installation (marine),H,H,NA,H,NA,NA,NA,NA,NA,H,NA
Financial services,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Footwear production,NA,NA,NA,NA,H,NA,M,M,NA,M,H
Freshwater wild-caught fish,NA,VH,NA,NA,NA,H,NA,NA,NA,H,NA
Gas adsorption,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA
Gas distribution,NA,NA,H,H,NA,NA,NA,NA,H,NA,NA
Gas retail,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Geothermal energy production,H,NA,H,NA,NA,NA,H,NA,NA,H,VH
Glass making,NA,NA,H,NA,H,NA,NA,L,NA,H,VH
Hotels and resorts provision,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Houseware and specialities production,NA,NA,NA,NA,H,NA,M,M,NA,M,VH
Hydropower production,NA,VH,H,NA,NA,NA,H,NA,VH,H,VH
Incomplete combustion,NA,NA,H,NA,H,NA,NA,NA,H,NA,H
Infrastructure builds,H,H,H,VH,H,NA,H,M,VH,M,H
Infrastructure holdings,NA,NA,NA,NA,M,NA,H,M,NA,H,H
Infrastructure maintenance contracts,NA,NA,H,NA,L,NA,L,NA,M,L,H
Integrated oil and gas,H,VH,H,VH,H,NA,M,H,VH,M,VH
Iron extraction,H,NA,H,NA,H,NA,NA,NA,VH,NA,VH
Iron metal production,H,NA,H,NA,H,NA,NA,H,NA,M,VH
Jewellery production,NA,NA,NA,NA,H,NA,M,M,NA,M,NA
Large-scale forestry,NA,NA,H,NA,NA,NA,NA,NA,VH,H,NA
Large-scale irrigated arable crops,NA,VH,NA,NA,NA,NA,H,NA,VH,H,VH
Large-scale livestock (beef and dairy),NA,NA,H,NA,NA,NA,M,NA,VH,M,VH
Large-scale rainfed arable crops,NA,NA,NA,NA,NA,L,H,NA,VH,H,NA
Leisure facility provision,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
"Life science, pharma and biotech manufacture",NA,NA,NA,NA,M,NA,H,H,NA,H,H
"Life science, pharma and biotech tools and services",NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Managed health care,NA,NA,H,NA,NA,NA,M,NA,NA,M,NA
"Manufacture of machinery, parts and equipment",M,NA,H,NA,M,NA,H,H,NA,H,H
Marine ports and services,H,VH,H,VH,NA,NA,H,M,H,H,NA
Marine transportation,H,NA,H,H,NA,NA,H,NA,NA,H,NA
Membrane technology,NA,NA,H,NA,NA,NA,NA,NA,NA,NA,NA
Metal processing,NA,NA,H,NA,M,NA,M,H,NA,M,H
Mining,H,H,H,NA,H,NA,H,H,VH,H,VH
Natural fibre production,NA,NA,NA,NA,H,NA,M,M,H,M,VH
Natural gas combustion,NA,NA,H,NA,H,NA,H,NA,H,H,VH
Nuclear and thermal power stations,H,H,H,NA,H,NA,M,H,NA,M,VH
Oil and gas drilling,H,H,H,VH,H,NA,H,H,H,H,VH
Oil and gas exploration surveys,H,H,H,M,H,NA,H,H,H,H,VH
Oil and gas refining,NA,NA,H,NA,H,NA,L,NA,NA,L,VH
Oil and gas services,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Oil and gas storage,NA,NA,NA,NA,NA,NA,L,NA,H,L,NA
Oil and gas transportation,NA,H,H,H,NA,NA,L,NA,H,L,H
Paper packaging production,NA,NA,NA,NA,M,NA,H,NA,NA,H,VH
Polymerization,NA,NA,NA,NA,M,NA,H,NA,H,H,VH
Processed food and drink production,NA,NA,H,NA,NA,NA,M,H,NA,M,H
Production of forest and wood-based products,NA,NA,H,NA,NA,NA,H,NA,H,H,NA
Production of leisure or personal products,NA,NA,H,NA,M,NA,M,H,NA,M,H
Production of paper products,NA,NA,NA,NA,M,NA,H,NA,NA,H,VH
Provision of health care,NA,NA,H,NA,NA,NA,M,M,NA,M,NA
Railway transportation,H,NA,H,NA,H,NA,L,NA,NA,L,NA
Real estate activities,NA,NA,H,NA,M,NA,M,H,VH,M,NA
Recovery and separation of carbon dioxide,H,NA,H,NA,M,NA,L,M,NA,L,NA
Restaurant provision,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA
Saltwater wild-caught fish,NA,NA,NA,VH,NA,H,NA,NA,NA,M,NA
Manufacture of semiconductor equipment,NA,NA,H,NA,NA,NA,H,NA,NA,H,H
Small-scale forestry,NA,NA,H,NA,NA,NA,M,NA,VH,M,NA
Small-scale irrigated arable crops,NA,H,NA,NA,NA,NA,M,NA,VH,M,H
Small-scale livestock (beef and dairy),NA,NA,H,NA,NA,NA,M,NA,VH,M,H
Small-scale rainfed arable crops,NA,NA,NA,NA,NA,L,M,NA,VH,M,NA
Solar energy provision,NA,NA,NA,NA,NA,NA,L,NA,VH,L,VH
Solids processing,NA,NA,H,NA,M,NA,H,NA,NA,H,NA
Steel production,NA,NA,H,NA,NA,NA,NA,H,NA,NA,H
Synthetic fertilizer production,NA,NA,NA,NA,H,NA,H,NA,NA,L,H
Synthetic fibre production,NA,NA,NA,NA,H,NA,M,H,NA,M,H
Telecommunication and wireless services,NA,NA,NA,NA,NA,NA,L,M,H,L,NA
Tobacco production,NA,NA,H,NA,NA,L,H,NA,VH,H,H
Tyre and rubber production,H,NA,H,NA,M,NA,M,H,NA,M,H
Vulcanisation,NA,NA,H,NA,H,NA,L,H,NA,L,H
"Water services (e.g. waste water, treatment and distribution)",NA,H,NA,NA,NA,NA,L,NA,H,L,H
Wind energy provision,M,M,NA,H,NA,NA,L,NA,H,L,NA